DATE,BAMLH0A0HYM2EY
2020-01-02,5.28
2020-01-03,5.25
2020-01-06,5.23
2020-01-07,5.21
2020-01-08,5.22
2020-01-09,5.19
2020-01-10,5.17
2020-01-13,5.17
2020-01-14,5.12
2020-01-15,5.08
2020-01-16,5.08
2020-01-17,5.06
2020-01-20,5.06
2020-01-21,5.09
2020-01-22,5.11
2020-01-23,5.18
2020-01-24,5.23
2020-01-27,5.50
2020-01-28,5.37
2020-01-29,5.30
2020-01-30,5.38
2020-01-31,5.43
2020-02-03,5.38
2020-02-04,5.34
2020-02-05,5.27
2020-02-06,5.22
2020-02-07,5.21
2020-02-10,5.19
2020-02-11,5.12
2020-02-12,5.09
2020-02-13,5.07
2020-02-14,5.03
2020-02-17,5.03
2020-02-18,5.04
2020-02-19,5.02
2020-02-20,5.03
2020-02-21,5.02
2020-02-24,5.31
2020-02-25,5.40
2020-02-26,5.47
2020-02-27,5.79
2020-02-28,6.02
2020-02-29,6.07
2020-03-02,5.93
2020-03-03,5.72
2020-03-04,5.58
2020-03-05,5.82
2020-03-06,6.27
2020-03-09,7.17
2020-03-10,7.05
2020-03-11,7.34
2020-03-12,8.15
2020-03-13,8.10
2020-03-16,8.96
2020-03-17,9.17
2020-03-18,9.98
2020-03-19,10.62
2020-03-20,10.75
2020-03-23,11.38
2020-03-24,11.13
2020-03-25,10.69
2020-03-26,9.82
2020-03-27,9.46
2020-03-30,9.24
2020-03-31,9.20
2020-04-01,9.53
2020-04-02,9.60
2020-04-03,9.84
2020-04-06,9.74
2020-04-07,9.39
2020-04-08,9.33
2020-04-09,8.42
2020-04-10,.
2020-04-13,8.19
2020-04-14,7.83
2020-04-15,8.03
2020-04-16,7.98
2020-04-17,7.73
2020-04-20,7.92
2020-04-21,8.28
2020-04-22,8.26
2020-04-23,8.28
2020-04-24,8.43
2020-04-27,8.45
2020-04-28,8.42
2020-04-29,8.28
2020-04-30,8.04
2020-05-01,8.13
2020-05-04,8.20
2020-05-05,8.03
2020-05-06,8.04
2020-05-07,7.97
2020-05-08,7.92
2020-05-11,7.95
2020-05-12,7.82
2020-05-13,7.99
2020-05-14,8.13
2020-05-15,8.16
2020-05-18,7.85
2020-05-19,7.78
2020-05-20,7.56
2020-05-21,7.49
2020-05-22,7.46
2020-05-25,7.46
2020-05-26,7.17
2020-05-27,7.11
2020-05-28,7.02
2020-05-29,7.08
2020-05-31,6.92
2020-06-01,6.82
2020-06-02,6.58
2020-06-03,6.26
2020-06-04,6.32
2020-06-05,6.05
2020-06-08,6.04
2020-06-09,6.24
2020-06-10,6.34
2020-06-11,6.78
2020-06-12,6.69
2020-06-15,6.66
2020-06-16,6.22
2020-06-17,6.28
2020-06-18,6.42
2020-06-19,6.43
2020-06-22,6.44
2020-06-23,6.42
2020-06-24,6.62
2020-06-25,6.69
2020-06-26,6.78
2020-06-29,6.88
2020-06-30,6.81
2020-07-01,6.72
2020-07-02,6.56
2020-07-03,6.56
2020-07-06,6.43
2020-07-07,6.42
2020-07-08,6.44
2020-07-09,6.49
2020-07-10,6.51
2020-07-13,6.38
2020-07-14,6.39
2020-07-15,6.17
2020-07-16,6.11
2020-07-17,6.09
2020-07-20,5.90
2020-07-21,5.68
2020-07-22,5.62
2020-07-23,5.60
2020-07-24,5.63
2020-07-27,5.60
2020-07-28,5.60
2020-07-29,5.47
2020-07-30,5.44
2020-07-31,5.45
2020-08-03,5.39
2020-08-04,5.41
2020-08-05,5.34
2020-08-06,5.36
2020-08-07,5.37
2020-08-10,5.41
2020-08-11,5.41
2020-08-12,5.48
2020-08-13,5.57
2020-08-14,5.65
2020-08-17,5.66
2020-08-18,5.63
2020-08-19,5.61
2020-08-20,5.63
2020-08-21,5.60
2020-08-24,5.52
2020-08-25,5.43
2020-08-26,5.39
2020-08-27,5.37
2020-08-28,5.37
2020-08-31,5.38
2020-09-01,5.33
2020-09-02,5.28
2020-09-03,5.37
2020-09-04,5.53
2020-09-07,5.53
2020-09-08,5.62
2020-09-09,5.54
2020-09-10,5.52
2020-09-11,5.56
2020-09-14,5.53
2020-09-15,5.50
2020-09-16,5.44
2020-09-17,5.50
2020-09-18,5.53
2020-09-21,5.77
2020-09-22,5.79
2020-09-23,5.83
2020-09-24,5.99
2020-09-25,5.99
2020-09-28,5.86
2020-09-29,5.83
2020-09-30,5.77
2020-10-01,5.73
2020-10-02,5.76
2020-10-05,5.60
2020-10-06,5.48
2020-10-07,5.46
2020-10-08,5.39
2020-10-09,5.35
2020-10-12,5.34
2020-10-13,5.27
2020-10-14,5.28
2020-10-15,5.42
2020-10-16,5.35
2020-10-19,5.32
2020-10-20,5.34
2020-10-21,5.35
2020-10-22,5.34
2020-10-23,5.33
2020-10-26,5.46
2020-10-27,5.49
2020-10-28,5.72
2020-10-29,5.70
2020-10-30,5.72
2020-10-31,5.79
2020-11-02,5.72
2020-11-03,5.56
2020-11-04,5.21
2020-11-05,5.02
2020-11-06,5.13
2020-11-09,4.76
2020-11-10,4.93
2020-11-11,4.93
2020-11-12,5.11
2020-11-13,5.13
2020-11-16,5.01
2020-11-17,4.96
2020-11-18,4.91
2020-11-19,4.95
2020-11-20,4.95
2020-11-23,4.91
2020-11-24,4.79
2020-11-25,4.81
2020-11-26,4.81
2020-11-27,4.81
2020-11-30,4.79
2020-12-01,4.74
2020-12-02,4.70
2020-12-03,4.61
2020-12-04,4.56
2020-12-07,4.53
2020-12-08,4.52
2020-12-09,4.56
2020-12-10,4.57
2020-12-11,4.60
2020-12-14,4.54
2020-12-15,4.54
2020-12-16,4.54
2020-12-17,4.54
2020-12-18,4.53
2020-12-21,4.67
2020-12-22,4.60
2020-12-23,4.56
2020-12-24,4.54
2020-12-25,.
2020-12-28,4.37
2020-12-29,4.33
2020-12-30,4.34
2020-12-31,4.34
2021-01-01,.
2021-01-04,4.40
2021-01-05,4.41
2021-01-06,4.36
2021-01-07,4.36
2021-01-08,4.35
2021-01-11,4.43
2021-01-12,4.47
2021-01-13,4.41
2021-01-14,4.33
2021-01-15,4.32
2021-01-18,4.31
2021-01-19,4.28
2021-01-20,4.24
2021-01-21,4.22
2021-01-22,4.32
2021-01-25,4.29
2021-01-26,4.28
2021-01-27,4.38
2021-01-28,4.31
2021-01-29,4.35
2021-01-31,4.41
2021-02-01,4.39
2021-02-02,4.33
2021-02-03,4.27
2021-02-04,4.23
2021-02-05,4.18
2021-02-08,4.15
2021-02-09,4.12
2021-02-10,4.10
2021-02-11,4.09
2021-02-12,4.10
2021-02-15,4.08
2021-02-16,4.09
2021-02-17,4.12
2021-02-18,4.13
2021-02-19,4.12
2021-02-22,4.17
2021-02-23,4.19
2021-02-24,4.16
2021-02-25,4.30
2021-02-26,4.37
2021-02-28,4.46
2021-03-01,4.38
2021-03-02,4.34
2021-03-03,4.36
2021-03-04,4.45
2021-03-05,4.52
2021-03-08,4.53
2021-03-09,4.54
2021-03-10,4.53
2021-03-11,4.41
2021-03-12,4.51
2021-03-15,4.50
2021-03-16,4.49
2021-03-17,4.57
